xk,xpl,xmw,xTe,,,yts,ytt
0.4,0.7,1.099,288.3,,,4,0
0.4,0.7,1.06,295.1,,,4,0.5
0.4,0.7,1.021,301.9,,,4,1
0.4,0.7,0.9828,308.6,,,4,1.5
0.4,0.7,0.9447,315.2,,,4,2
0.4,0.7,0.9069,321.7,,,4,2.5
0.4,0.7,0.8692,328.3,,,4,3
0.4,0.7,0.8316,334.8,,,4,3.5
0.4,0.7,0.7938,341.4,,,4,4
0.4,0.7,0.7559,348,,,4,4.5
0.4,0.7,0.7175,354.7,,,4,5
0.4,0.7,0.6783,361.5,,,4,5.5
0.4,0.7,0.6381,368.5,,,4,6
0.4,0.7,1.075,292.6,,,4.5,0
0.4,0.7,1.037,299.1,,,4.5,0.5
0.4,0.7,0.9999,305.6,,,4.5,1
0.4,0.7,0.963,312,,,4.5,1.5
0.4,0.7,0.9264,318.3,,,4.5,2
0.4,0.7,0.89,324.7,,,4.5,2.5
0.4,0.7,0.8536,331,,,4.5,3
0.4,0.7,0.8173,337.3,,,4.5,3.5
0.4,0.7,0.7808,343.7,,,4.5,4
0.4,0.7,0.744,350.1,,,4.5,4.5
0.4,0.7,0.7067,356.5,,,4.5,5
0.4,0.7,0.6687,363.1,,,4.5,5.5
0.4,0.7,0.6295,370,,,4.5,6
0.4,0.7,1.052,296.5,,,5,0
0.4,0.7,1.016,302.8,,,5,0.5
0.4,0.7,0.9802,309,,,5,1
0.4,0.7,0.9447,315.2,,,5,1.5
0.4,0.7,0.9094,321.3,,,5,2
0.4,0.7,0.8742,327.4,,,5,2.5
0.4,0.7,0.8391,333.5,,,5,3
0.4,0.7,0.8039,339.6,,,5,3.5
0.4,0.7,0.7686,345.8,,,5,4
0.4,0.7,0.7329,352,,,5,4.5
0.4,0.7,0.6967,358.3,,,5,5
0.4,0.7,0.6597,364.7,,,5,5.5
0.4,0.7,0.6215,371.3,,,5,6
0.4,0.7,1.031,300.1,,,5.5,0
0.4,0.7,0.9964,306.2,,,5.5,0.5
0.4,0.7,0.9619,312.2,,,5.5,1
0.4,0.7,0.9276,318.1,,,5.5,1.5
0.4,0.7,0.8935,324.1,,,5.5,2
0.4,0.7,0.8595,330,,,5.5,2.5
0.4,0.7,0.8255,335.9,,,5.5,3
0.4,0.7,0.7914,341.8,,,5.5,3.5
0.4,0.7,0.7571,347.8,,,5.5,4
0.4,0.7,0.7224,353.8,,,5.5,4.5
0.4,0.7,0.6872,359.9,,,5.5,5
0.4,0.7,0.6512,366.2,,,5.5,5.5
0.4,0.7,0.614,372.7,,,5.5,6
0.4,0.7,1.012,303.6,,,6,0
0.4,0.7,0.978,309.4,,,6,0.5
0.4,0.7,0.9447,315.2,,,6,1
0.4,0.7,0.9116,320.9,,,6,1.5
0.4,0.7,0.8786,326.7,,,6,2
0.4,0.7,0.8457,332.4,,,6,2.5
0.4,0.7,0.8127,338.1,,,6,3
0.4,0.7,0.7796,343.9,,,6,3.5
0.4,0.7,0.7463,349.7,,,6,4
0.4,0.7,0.7126,355.5,,,6,4.5
0.4,0.7,0.6783,361.5,,,6,5
0.4,0.7,0.6432,367.6,,,6,5.5
0.4,0.7,0.6068,373.9,,,6,6
0.4,0.75,1.4,240.1,,,0,0
0.4,0.75,1.338,250.4,,,0,0.5
0.4,0.75,1.277,260.5,,,0,1
0.4,0.75,1.218,270.4,,,0,1.5
0.4,0.75,1.16,280,,,0,2
0.4,0.75,1.103,289.5,,,0,2.5
0.4,0.75,1.047,298.7,,,0,3
0.4,0.75,0.9929,307.8,,,0,3.5
0.4,0.75,0.9391,316.7,,,0,4
0.4,0.75,0.8859,325.6,,,0,4.5
0.4,0.75,0.833,334.4,,,0,5
0.4,0.75,0.78,343.2,,,0,5.5
0.4,0.75,0.7266,352.1,,,0,6
0.4,0.75,1.347,249,,,0.5,0
0.4,0.75,1.288,258.6,,,0.5,0.5
0.4,0.75,1.232,268.1,,,0.5,1
0.4,0.75,1.176,277.3,,,0.5,1.5
0.4,0.75,1.122,286.4,,,0.5,2
0.4,0.75,1.068,295.2,,,0.5,2.5
0.4,0.75,1.016,303.9,,,0.5,3
0.4,0.75,0.9646,312.5,,,0.5,3.5
0.4,0.75,0.9137,321,,,0.5,4
0.4,0.75,0.8632,329.4,,,0.5,4.5
0.4,0.75,0.8128,337.8,,,0.5,5
0.4,0.75,0.7623,346.2,,,0.5,5.5
0.4,0.75,0.7112,354.7,,,0.5,6
0.4,0.75,1.299,256.9,,,1,0
0.4,0.75,1.244,266,,,1,0.5
0.4,0.75,1.191,274.8,,,1,1
0.4,0.75,1.139,283.5,,,1,1.5
0.4,0.75,1.088,292,,,1,2
0.4,0.75,1.037,300.4,,,1,2.5
0.4,0.75,0.988,308.6,,,1,3
0.4,0.75,0.9391,316.7,,,1,3.5
0.4,0.75,0.8907,324.8,,,1,4
0.4,0.75,0.8426,332.8,,,1,4.5
0.4,0.75,0.7945,340.8,,,1,5
0.4,0.75,0.7461,348.9,,,1,5.5
0.4,0.75,0.697,357,,,1,6
0.4,0.75,1.256,264,,,1.5,0
0.4,0.75,1.205,272.5,,,1.5,0.5
0.4,0.75,1.155,280.9,,,1.5,1
0.4,0.75,1.105,289.1,,,1.5,1.5
0.4,0.75,1.057,297.1,,,1.5,2
0.4,0.75,1.009,305,,,1.5,2.5
0.4,0.75,0.9624,312.9,,,1.5,3
0.4,0.75,0.9159,320.6,,,1.5,3.5
0.4,0.75,0.8698,328.3,,,1.5,4
0.4,0.75,0.8238,335.9,,,1.5,4.5
0.4,0.75,0.7777,343.6,,,1.5,5
0.4,0.75,0.7313,351.3,,,1.5,5.5
0.4,0.75,0.6841,359.2,,,1.5,6
0.4,0.75,1.218,270.4,,,2,0
0.4,0.75,1.169,278.5,,,2,0.5
0.4,0.75,1.122,286.4,,,2,1
0.4,0.75,1.075,294.1,,,2,1.5
0.4,0.75,1.029,301.8,,,2,2
0.4,0.75,0.9839,309.3,,,2,2.5
0.4,0.75,0.9391,316.7,,,2,3
0.4,0.75,0.8947,324.1,,,2,3.5
0.4,0.75,0.8506,331.5,,,2,4
0.4,0.75,0.8065,338.8,,,2,4.5
0.4,0.75,0.7623,346.2,,,2,5
